Season,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1989,41,52,17,55,19,42,47,43,59,37,41,42,30,63,,18,44,22,,45,41,18,53,54,59,23,56,,55,31
1988,52,42,26,47,20,57,38,44,63,43,45,28,21,57,,15,49,,,52,47,,46,55,39,27,21,,51,40
1987,50,57,19,50,,42,53,54,54,20,46,38,17,62,,,42,,,38,44,,36,28,53,24,31,,47,38
1986,57,59,24,40,,31,55,37,52,42,42,41,12,65,,,50,,,24,39,,45,36,49,29,28,,44,42
1985,50,67,39,30,,29,44,47,46,30,51,26,32,62,,,57,,,23,31,,54,32,40,37,35,,42,39
1984,34,63,42,38,,36,44,52,46,22,48,22,31,62,,,59,,,24,31,,58,36,42,31,41,,41,40
1983,40,62,45,27,,28,43,38,49,37,29,26,30,54,,,50,,,47,42,,52,41,48,38,37,,45,35
1982,43,56,49,28,,23,38,45,37,30,14,20,25,58,,,51,,,44,48,,65,53,46,45,53,,30,42
1981,42,63,44,34,,15,28,46,39,45,46,35,17,57,,,55,,,33,52,,58,46,42,30,48,,25,43
1980,31,62,24,45,,28,15,37,21,39,40,44,36,54,,,60,,,50,34,,62,57,45,40,52,,28,39
